id,kfold,sentiment,mlp_lsa_pred
1,0,0,1.1690419702875505e-08
2,0,0,1.0127631114957155e-14
3,0,1,0.9999996725364388
4,0,0,0.005194492932433302
5,0,1,0.009260093144694701
6,0,1,0.9999999999846365
7,0,1,0.9999979259934847
8,0,0,1.2201176415599898e-10
9,0,1,0.9999999999984597
10,0,1,0.9904328935122718
11,0,1,0.9999838587122147
12,0,1,0.9999999999932765
13,0,1,0.9999999958189267
14,0,0,0.0013769846697636724
15,0,1,0.9999458025589503
16,0,1,1.0
17,0,0,0.5476419830015593
18,0,1,0.9999999996759847
19,0,0,1.6963393063648083e-21
20,0,1,0.9945004896982206
21,0,0,0.7972822885809903
22,0,1,0.999999839520703
23,0,1,0.9999986451874757
24,0,1,0.9999999547685376
25,0,0,0.00011789229984183324
26,0,1,1.1934532976699623e-08
27,0,1,0.9999999999537408
28,0,1,0.012810752785615788
29,0,0,1.390966679050889e-13
30,0,0,1.8971740406098881e-25
31,0,0,2.4044056460785836e-13
32,0,0,0.47976251313702534
33,0,1,0.9999999998277467
34,0,0,0.9930824867560603
35,0,1,0.9999965089615588
36,0,0,2.688249527763712e-20
37,0,1,1.5904684512457083e-12
38,0,1,0.9999999999994917
39,0,1,1.0
40,0,1,0.9999999999999996
41,0,1,0.8865437458298802
42,0,1,0.9999999668793036
43,0,1,0.9993921497099223
44,0,0,1.5458172621678572e-21
45,0,0,2.505008958897819e-14
46,0,0,5.913897598512715e-05
47,0,0,2.1196477046347303e-08
48,0,1,1.0
49,0,0,0.9857175128050233
50,0,1,0.9857601315561901
51,0,1,0.9999999999999047
52,0,0,6.176049258112246e-12
53,0,1,1.0
54,0,1,1.3186317164131185e-05
55,0,1,0.4967784394655319
56,0,0,8.045792064246929e-12
57,0,0,0.0024000890306672615
58,0,0,4.8091780792583246e-11
59,0,0,0.3792804580542325
60,0,1,0.0030055552018759756
61,0,0,1.8379296394701382e-15
62,0,0,3.2595662159491367e-09
63,0,1,7.142234278397635e-09
64,0,1,0.9999999999786651
65,0,0,1.1884346424557732e-08
66,0,0,1.4102241486841483e-14
67,0,0,1.6324542743996668e-09
68,0,1,0.9999999996956201
69,0,0,3.3028967767936325e-15
70,0,1,2.351781631478849e-05
71,0,1,0.9999999999969824
72,0,1,0.999999999995304
73,0,1,0.9999999048072399
74,0,1,0.07970997492841123
75,0,1,0.9999999999784073
76,0,1,0.9999999999977678
77,0,0,1.4347798343476633e-09
78,0,1,0.9999999999655986
79,0,1,0.9987727350989661
80,0,0,2.660853839199852e-15
81,0,1,0.8782320599502769
82,0,1,0.9999973698543368
83,0,1,0.3654661644551572
84,0,1,0.9999999999705034
85,0,0,8.457676235195943e-05
86,0,1,0.9999625149728071
87,0,1,4.323710106870643e-07
88,0,1,0.9999999700841464
89,0,1,0.9999943713712803
90,0,0,9.210225365556863e-10
91,0,0,2.515374389602253e-15
92,0,0,9.941089459375563e-23
93,0,1,0.9999999890710104
94,0,0,3.859411595884747e-17
95,0,0,7.51965170703655e-11
96,0,1,0.9382309473716005
97,0,1,0.9999840633853685
98,0,0,2.5570551040756856e-15
99,0,0,0.19271253711587158
100,0,0,3.450512069711281e-13
101,0,1,0.012083573464974531
102,0,1,0.9717091194222676
103,0,1,0.9999998590123597
104,0,1,0.9999999704437821
105,0,1,0.9997957767732994
106,0,1,2.6152476970871934e-05
107,0,0,2.703819696625526e-21
108,0,1,0.9999599004360031
109,0,0,5.860439883994264e-09
110,0,1,0.9999370608625866
111,0,0,7.468661888841991e-10
112,0,1,0.8682122589762852
113,0,0,2.3700649295162023e-06
114,0,1,0.9999999999663276
115,0,1,0.99999461941783
116,0,0,4.071749422838504e-18
117,0,1,0.9999613908293709
118,0,0,0.9999770450578546
119,0,1,0.9999999998186744
120,0,1,1.0
121,0,0,1.1917385552919984e-20
122,0,0,6.105013921497542e-09
123,0,1,0.9999963120684252
124,0,1,0.9999997235627818
125,0,0,0.07325153423197113
126,0,1,0.9999864218490107
127,0,0,1.1935718880489207e-07
128,0,0,0.07006903867921203
129,0,1,0.30216367115562975
130,0,0,1.4568331916556832e-08
131,0,1,0.9999999993236413
