id,kfold,sentiment,lr_lemma_pred
1,0,0,0.35459803097927145
2,0,0,0.0020273802895296603
3,0,1,0.6836782075878328
4,0,0,0.03076650444439625
5,0,1,0.6295435045844063
6,0,1,0.9736615620369772
7,0,1,0.559915380821777
8,0,0,0.07965303155899885
9,0,1,0.9373660273629529
10,0,1,0.6091744919557235
11,0,1,0.9551104821638458
12,0,1,0.7071047582465682
13,0,1,0.5908665256438743
14,0,0,0.29853058080181455
15,0,1,0.8155752909551287
16,0,1,0.9238594045966124
17,0,0,0.6420613594372068
18,0,1,0.9303109112493794
19,0,0,0.025408563956994177
20,0,1,0.16153911649404826
21,0,0,0.2548309624903788
22,0,1,0.9379877309816981
23,0,1,0.7706700747648576
24,0,1,0.9664054123821432
25,0,0,0.5066220338350899
26,0,1,0.6873230251835266
27,0,1,0.9760144272132922
28,0,1,0.7084591124168235
29,0,0,0.007334025120760493
30,0,0,0.00015585596319524285
31,0,0,0.18775153451518667
32,0,0,0.9002263476841006
33,0,1,0.6512397239622922
34,0,0,0.29349460650123677
35,0,1,0.8339818101599165
36,0,0,0.2232744700332802
37,0,1,0.0669924813783031
38,0,1,0.9015256814160781
39,0,1,0.8136213971214398
40,0,1,0.9741975905736222
41,0,1,0.7965230989869863
42,0,1,0.9758156631085905
43,0,1,0.8534320368681746
44,0,0,0.019431749603572704
45,0,0,0.2693253333913668
46,0,0,0.2373065169891804
47,0,0,0.33348240482279057
48,0,1,0.47338361979267785
49,0,0,0.12907197226290412
50,0,1,0.9808153059812138
51,0,1,0.7113907578172977
52,0,0,0.45142132801170776
53,0,1,0.9837466900266235
54,0,1,0.7580651202700799
55,0,1,0.2592343897589132
56,0,0,0.14610804535913782
57,0,0,0.5458778490761899
58,0,0,0.10625538502950461
59,0,0,0.265277861120601
60,0,1,0.7787280686095753
61,0,0,0.06063111450074962
62,0,0,0.3536728826576985
63,0,1,0.298726717420179
64,0,1,0.9281762990317264
65,0,0,0.0923176125892867
66,0,0,0.6219253723538672
67,0,0,0.12162292781182313
68,0,1,0.8493892650965248
69,0,0,0.0663464082930264
70,0,1,0.9030610493591945
71,0,1,0.6043709281303702
72,0,1,0.8818159640741766
73,0,1,0.8799206293605747
74,0,1,0.6562807984009583
75,0,1,0.9228832174601844
76,0,1,0.9430729904266137
77,0,0,0.14210822051887081
78,0,1,0.8030710749494873
79,0,1,0.8664093728981554
80,0,0,0.104225584155802
81,0,1,0.9356635792191248
82,0,1,0.5968204191061063
83,0,1,0.6506170777060633
84,0,1,0.9774785158906725
85,0,0,0.020828801604386864
86,0,1,0.926926436055662
87,0,1,0.4523317536687027
88,0,1,0.9853956243547324
89,0,1,0.9307485110464369
90,0,0,0.01282269232787039
91,0,0,0.040794154144009595
92,0,0,0.05800132070652107
93,0,1,0.8451067259905705
94,0,0,0.0021918383523942186
95,0,0,0.48242264980042815
96,0,1,0.40286276378606095
97,0,1,0.8124966940010432
98,0,0,0.02167990260705426
99,0,0,0.3002910216092553
100,0,0,0.1441195576559861
101,0,1,0.6590960014548705
102,0,1,0.5113926791694339
103,0,1,0.92453736044964
104,0,1,0.6179752538081659
105,0,1,0.7293148277263992
106,0,1,0.8189183589532895
107,0,0,0.1516605274552523
108,0,1,0.6646074496735589
109,0,0,0.3179201739495505
110,0,1,0.9260349378227724
111,0,0,0.16789200223431192
112,0,1,0.49521602099866796
113,0,0,0.12129179612400644
114,0,1,0.7376895941209867
115,0,1,0.9062471867441507
116,0,0,0.5074214562927075
117,0,1,0.8763663789008975
118,0,0,0.7682201351273895
119,0,1,0.8010583871989184
