id,kfold,sentiment,lr_tfidf_pred
1,0,0,0.3373001098226827
2,0,0,0.004506820358983519
3,0,1,0.825261429488456
4,0,0,0.08226834343736177
5,0,1,0.7081219569970686
6,0,1,0.9862017470446293
7,0,1,0.7786420030935205
8,0,0,0.04366302910584447
9,0,1,0.9325182340045651
10,0,1,0.5318332767497105
11,0,1,0.9475503153854121
12,0,1,0.8563845509153065
13,0,1,0.648859423441293
14,0,0,0.11264951728745158
15,0,1,0.8050203357920062
16,0,1,0.9404770673353127
17,0,0,0.5191308497908325
18,0,1,0.8359190649172248
19,0,0,0.019403960039821047
20,0,1,0.2355457896555601
21,0,0,0.2697129817448201
22,0,1,0.9852741305259461
23,0,1,0.799050983483229
24,0,1,0.9723747491314523
25,0,0,0.777874943301011
26,0,1,0.6197427970163107
27,0,1,0.9417696878536645
28,0,1,0.5943674950990667
29,0,0,0.0008019847653174926
30,0,0,0.00024318826301346152
31,0,0,0.1848317550159885
32,0,0,0.8582443629743673
33,0,1,0.5751750882621361
34,0,0,0.36308629597071285
35,0,1,0.9109933953028123
36,0,0,0.04596057515262516
37,0,1,0.17414767118995433
38,0,1,0.9007657484957092
39,0,1,0.9203904237472048
40,0,1,0.9722988572291179
41,0,1,0.8134117378548311
42,0,1,0.9499542259437663
43,0,1,0.8132782475747705
44,0,0,0.03196069267363735
45,0,0,0.08805467946531056
46,0,0,0.2813818471384929
47,0,0,0.25088573046704465
48,0,1,0.7525545932571454
49,0,0,0.15073632402050077
50,0,1,0.9856336709547151
51,0,1,0.6789565716200415
52,0,0,0.12361070115123017
53,0,1,0.9849187350249172
54,0,1,0.6928973779311279
55,0,1,0.21470628387618867
56,0,0,0.02870627142928231
57,0,0,0.5921975899147767
58,0,0,0.05775096484551226
59,0,0,0.44883144050600143
60,0,1,0.8428264884101866
61,0,0,0.04523049069054123
62,0,0,0.7685044807910486
63,0,1,0.545704949833898
64,0,1,0.9400097254277042
65,0,0,0.2137107679437188
66,0,0,0.07897689453615046
67,0,0,0.11000549593868914
68,0,1,0.7247901329281735
