id,kfold,sentiment,lr_cnt_pred
1,0,0,0.21669489494087738
2,0,0,0.0036327744953066434
3,0,1,0.9271089523504291
4,0,0,0.006451394766442357
5,0,1,0.959559987418397
6,0,1,0.9965257677901107
7,0,1,0.7175043644402764
8,0,0,0.038970872018170344
9,0,1,0.9974894375269403
10,0,1,0.5197027405367052
11,0,1,0.9765667576429068
12,0,1,0.9642631508836087
13,0,1,0.7966987172639873
14,0,0,0.028145345983201585
15,0,1,0.8377673145279994
16,0,1,0.973984964042234
17,0,0,0.27300315231890065
18,0,1,0.796822895778819
19,0,0,0.0009805599176474194
20,0,1,0.2705257184950563
21,0,0,0.23599822404149096
22,0,1,0.9890689583903381
23,0,1,0.8576975226558744
24,0,1,0.8664119808966676
25,0,0,0.7722914624967544
26,0,1,0.6652615771477808
27,0,1,0.949378974624115
28,0,1,0.43859704620652773
29,0,0,0.0019453090242604523
30,0,0,0.0017541986248521659
31,0,0,0.02254948011522803
32,0,0,0.7060802404001787
33,0,1,0.5849112401583942
34,0,0,0.436897554029613
35,0,1,0.9240613141565739
36,0,0,0.004128944846511746
37,0,1,0.26762524720850384
38,0,1,0.9124201127365987
39,0,1,0.8994675364939727
40,0,1,0.820859014618049
41,0,1,0.826312368061661
42,0,1,0.9062347787295618
43,0,1,0.8884215829340597
44,0,0,0.04059161724564774
45,0,0,0.0036826953010376854
46,0,0,0.057957080256460014
47,0,0,0.2768646569505426
48,0,1,0.6763668718964465
49,0,0,0.11435003821528412
50,0,1,0.9879933460993389
51,0,1,0.7908416700017947
52,0,0,0.009829628081989138
53,0,1,0.9703393371062361
54,0,1,0.6221425800134281
55,0,1,0.24544238346954197
56,0,0,0.03872269656749681
57,0,0,0.8560683983099805
58,0,0,0.004980298855858949
59,0,0,0.5202102715651948
60,0,1,0.8485257469864955
61,0,0,0.06891311650834757
62,0,0,0.8195518221206322
63,0,1,0.5669366212541479
64,0,1,0.9999961861212312
65,0,0,0.20841972281150342
66,0,0,0.031728100042454584
67,0,0,0.0007983442693167209
68,0,1,0.9301284527704197
69,0,0,0.004866500551686934
70,0,1,0.6752653124533484
71,0,1,0.7305878924191105
72,0,1,0.9797584718774698
73,0,1,0.8913472883227699
74,0,1,0.7004243152853236
75,0,1,0.9545928425806852
76,0,1,0.9990049717413322
77,0,0,0.02837648528312762
78,0,1,0.9776585134023079
79,0,1,0.7964143583368843
80,0,0,0.02350034400387388
81,0,1,0.895978970149352
82,0,1,0.7570499712596211
83,0,1,0.8534812443484152
84,0,1,0.9526076195173978
85,0,0,0.022104442389941144
86,0,1,0.7761277377389738
87,0,1,0.3056389756055355
88,0,1,0.8309287961102849
89,0,1,0.9903097311947991
90,0,0,0.003368653192454306
91,0,0,0.0049073028682995986
92,0,0,0.009318882531907585
93,0,1,0.9155226305479106
94,0,0,0.0012183161323533283
95,0,0,0.27285642505617813
96,0,1,0.3586971885643199
97,0,1,0.8333757716705631
98,0,0,0.002156868915979835
99,0,0,0.1356379913118184
100,0,0,0.07529166782335638
101,0,1,0.5822665676459383
102,0,1,0.6693431439528201
103,0,1,0.71052594645079
104,0,1,0.9369603698760887
105,0,1,0.4894130075817792
106,0,1,0.7750318496392407
107,0,0,0.009994180011814884
108,0,1,0.9134236067257597
109,0,0,0.2550538558228413
110,0,1,0.9370638478456706
111,0,0,0.075977432176856
112,0,1,0.7368618692377426
113,0,0,0.06668900566367866
114,0,1,0.9807555768034064
115,0,1,0.9890085546503753
116,0,0,0.041870108013801206
117,0,1,0.9243740195820508
118,0,0,0.6535938260978951
119,0,1,0.9971727007618251
120,0,1,0.9961792016429332
121,0,0,1.4000827203621335e-05
122,0,0,0.13606217655363642
123,0,1,0.861796951845483
124,0,1,0.26811597139674104
125,0,0,0.08281034978416786
126,0,1,0.9673245898545381
127,0,0,0.009135376940894032
128,0,0,0.04541503687626287
129,0,1,0.5467884938502724
130,0,0,0.13684628741730678
131,0,1,0.8119999353748535
132,0,1,0.910708212214018
133,0,0,0.6582265760719349
134,0,1,0.96080215325799
135,0,1,0.9881808234815307
136,0,1,0.7475396424291303
137,0,0,0.04298734043393825
138,0,1,0.8773455391666118
139,0,1,0.9775990652223148
140,0,1,0.9887472251020475
141,0,0,0.2932198004553809
142,0,1,0.7760899832963026
143,0,0,0.1882287571520325
144,0,1,0.9979435344080845
145,0,0,0.09202419752368957
146,0,0,0.45812801531727565
147,0,1,0.35648711479515793
148,0,1,0.16999939955214385
149,0,0,0.02800927710916035
150,0,0,0.7220773443814851
151,0,0,0.7326289487336562
152,0,0,0.0018433710987172745
153,0,1,0.4316795428931346
154,0,1,0.8763618469614844
155,0,1,0.9924191253330505
156,0,1,0.8419145332143069
157,0,1,0.9915276106674379
158,0,0,0.3820060689524095
159,0,1,0.9908347341303351
160,0,0,0.00341682088888064
161,0,1,0.300475760457505
162,0,0,0.02327918021244785
163,0,1,0.7703093089671901
164,0,1,0.23789516167800012
165,0,0,0.395421542285406
166,0,1,0.6897443076838627
167,0,1,0.632962585632653
168,0,0,0.17244099891602158
169,0,1,0.9974321245277536
170,0,0,0.5801189762811753
171,0,1,0.6189237836350537
172,0,1,0.9974378784818388
173,0,1,0.5399528095288572
174,0,1,0.9989226013824407
175,0,1,0.804251355499
176,0,1,0.9387820368973867
177,0,0,0.7818540730776893
178,0,1,0.5410815072387455
179,0,1,0.9924888266456273
180,0,1,0.9344413089151481
181,0,0,0.011276535104909169
182,0,1,0.9953578342202092
183,0,1,0.8846190495016065
184,0,1,0.8906843372121732
185,0,0,7.506122535743789e-06
186,0,0,0.0013740605664025304
187,0,0,0.009956099709798936
188,0,1,0.8077412066736303
189,0,1,0.9845351980520551
190,0,1,0.915715973722084
191,0,0,0.03247785234121146
192,0,0,0.9604688460933831
193,0,0,0.02322576535385837
194,0,0,0.7774362287410885
195,0,0,0.2841552658846386
196,0,1,0.9815970505660485
197,0,0,0.0018197556789166334
198,0,0,0.1792577541948144
199,0,1,0.7936676052557176
200,0,1,0.5545701222617391
201,0,0,0.2323862266448577
202,0,0,0.0566794966988145
203,0,0,0.12969580118616306
204,0,0,0.35727910871338436
205,0,1,0.7823730069950813
206,0,1,0.12481341028182089
207,0,1,0.9592224443561593
208,0,1,0.9274861885354301
209,0,1,0.981317640334965
210,0,0,0.6830552338615827
211,0,0,0.06303627487205009
212,0,1,0.9198803914495148
213,0,0,0.3342046387256678
214,0,0,0.12479316006476145
215,0,1,0.903438503292724
216,0,0,0.017195290675931806
217,0,1,0.6967704869930221
218,0,0,0.03528031313733368
219,0,1,0.18588549555507433
220,0,1,0.4123978887895809
221,0,0,0.06806839318551162
222,0,1,0.5123412795036504
223,0,1,0.6221358727225015
224,0,1,0.9805973893660217
225,0,1,0.6682564600482753
226,0,1,0.6952493729336682
227,0,1,0.7295798065072154
228,0,0,0.2732617625156174
229,0,0,0.5983433710851094
230,0,1,0.761620770565176
231,0,0,0.01013822418459821
232,0,1,0.7095672814301344
233,0,0,0.6605193545749131
234,0,1,0.6476926661547912
235,0,1,0.5796980750522367
236,0,1,0.6584196465611802
237,0,0,0.0014622938603677854
238,0,0,0.0019896583169865803
239,0,1,0.5349484275067031
240,0,0,0.015302777439386166
241,0,0,4.294193651156345e-05
242,0,1,0.9960804152183351
243,0,1,0.9999528145317448
244,0,0,0.1302271401628885
245,0,0,6.221871328061466e-05
246,0,0,0.0002100028591343902
